"booking_id","guest_id","listing_id","booking_status_id","checkindate","checkoutdate","no_of_days","booking_date"
1,1,1,2,"2023-07-21","2023-07-26",5,"2023-07-11"
2,2,2,1,"2023-04-27","2023-05-01",4,"2023-04-18"
3,3,3,3,"2023-12-08","2023-12-09",1,"2023-11-22"
4,4,4,3,"2023-10-23","2023-11-04",12,"2023-10-19"
5,5,5,1,"2023-12-19","2023-12-26",7,"2023-12-05"
6,6,6,2,"2023-06-09","2023-06-18",9,"2023-05-19"
7,7,7,1,"2024-01-05","2024-01-09",4,"2023-12-06"
8,8,8,2,"2024-01-08","2024-01-20",12,"2023-12-17"
9,9,9,1,"2023-05-26","2023-05-29",3,"2023-05-01"
10,10,10,3,"2023-11-27","2023-12-11",14,"2023-11-07"
11,11,11,2,"2023-07-30","2023-08-01",2,"2023-07-08"
12,12,12,2,"2023-02-27","2023-03-05",6,"2023-02-08"
13,13,13,2,"2023-05-03","2023-05-15",12,"2023-05-03"
14,14,14,2,"2023-10-29","2023-11-11",13,"2023-10-03"
15,15,15,3,"2024-02-06","2024-02-10",4,"2024-01-07"
16,16,16,3,"2023-04-09","2023-04-15",6,"2023-04-09"
17,17,17,2,"2023-03-04","2023-03-18",14,"2023-02-14"
18,18,18,2,"2024-02-11","2024-02-24",13,"2024-01-23"
19,19,19,2,"2024-01-30","2024-02-12",13,"2024-01-19"
20,20,20,3,"2024-01-15","2024-01-16",1,"2023-12-24"
21,21,21,1,"2023-12-23","2024-01-05",13,"2023-12-18"
22,22,22,1,"2023-08-17","2023-08-26",9,"2023-07-20"
23,23,23,2,"2023-06-03","2023-06-13",10,"2023-06-02"
24,24,24,1,"2023-09-27","2023-10-09",12,"2023-09-08"
25,25,25,2,"2023-06-17","2023-06-19",2,"2023-05-26"
26,26,26,1,"2023-06-05","2023-06-06",1,"2023-05-11"
27,27,27,2,"2023-12-20","2023-12-23",3,"2023-12-04"
28,28,28,3,"2023-11-09","2023-11-21",12,"2023-11-05"
29,29,29,1,"2023-08-30","2023-09-09",10,"2023-08-17"
30,30,30,2,"2023-02-13","2023-02-27",14,"2023-01-25"
31,31,31,1,"2023-03-01","2023-03-09",8,"2023-02-14"
32,32,32,2,"2023-05-17","2023-05-19",2,"2023-05-10"
33,33,33,2,"2023-08-10","2023-08-16",6,"2023-07-24"
34,34,34,1,"2023-06-07","2023-06-08",1,"2023-06-06"
35,35,35,2,"2023-08-14","2023-08-22",8,"2023-07-23"
36,36,36,2,"2023-03-16","2023-03-18",2,"2023-03-08"
37,37,37,2,"2023-08-04","2023-08-12",8,"2023-07-07"
38,38,38,3,"2023-05-09","2023-05-10",1,"2023-04-29"
39,39,39,1,"2023-08-24","2023-09-05",12,"2023-08-24"
40,40,40,1,"2023-10-09","2023-10-23",14,"2023-09-21"
41,41,41,1,"2024-01-11","2024-01-23",12,"2023-12-25"
42,42,42,2,"2023-05-09","2023-05-23",14,"2023-04-27"
43,43,43,3,"2023-12-31","2024-01-13",13,"2023-12-25"
44,44,44,3,"2023-08-05","2023-08-15",10,"2023-08-05"
45,45,45,1,"2023-08-30","2023-09-03",4,"2023-08-29"
46,46,46,2,"2023-10-18","2023-10-25",7,"2023-10-10"
47,47,47,2,"2023-11-14","2023-11-17",3,"2023-10-16"
48,48,48,3,"2023-08-29","2023-08-31",2,"2023-08-25"
49,49,49,3,"2023-07-04","2023-07-15",11,"2023-06-19"
50,50,50,1,"2023-10-17","2023-10-28",11,"2023-10-11"
51,51,51,3,"2023-06-20","2023-06-26",6,"2023-06-08"
52,52,52,1,"2023-11-03","2023-11-15",12,"2023-10-09"
53,53,53,1,"2023-10-29","2023-11-03",5,"2023-10-05"
54,54,54,2,"2023-06-26","2023-06-29",3,"2023-05-28"
55,55,55,3,"2023-11-09","2023-11-14",5,"2023-10-27"
56,56,56,1,"2023-07-04","2023-07-15",11,"2023-06-20"
57,57,57,1,"2023-06-26","2023-06-27",1,"2023-05-28"
58,58,58,1,"2023-12-11","2023-12-24",13,"2023-12-03"
59,59,59,2,"2023-10-22","2023-10-31",9,"2023-10-20"
60,60,60,1,"2023-04-03","2023-04-12",9,"2023-03-19"
61,61,61,3,"2023-04-26","2023-05-03",7,"2023-04-11"
62,62,62,1,"2023-04-25","2023-04-27",2,"2023-04-21"
63,63,63,3,"2023-09-02","2023-09-05",3,"2023-08-29"
64,64,64,2,"2023-08-23","2023-08-30",7,"2023-08-08"
65,65,65,2,"2023-06-29","2023-07-05",6,"2023-06-02"
66,66,66,1,"2023-04-11","2023-04-13",2,"2023-04-09"
67,67,67,2,"2023-09-04","2023-09-16",12,"2023-08-06"
68,68,68,1,"2023-08-05","2023-08-19",14,"2023-07-17"
69,69,69,1,"2023-11-25","2023-11-28",3,"2023-11-15"
70,70,70,1,"2023-09-16","2023-09-21",5,"2023-08-18"
71,71,71,1,"2024-01-24","2024-01-31",7,"2024-01-13"
72,72,72,2,"2023-06-16","2023-06-30",14,"2023-06-06"
73,73,73,2,"2023-10-08","2023-10-16",8,"2023-09-10"
74,74,74,2,"2023-06-05","2023-06-14",9,"2023-05-28"
75,75,75,3,"2023-10-09","2023-10-13",4,"2023-09-20"
76,76,76,3,"2023-12-07","2023-12-08",1,"2023-11-17"
77,77,77,3,"2023-12-25","2024-01-02",8,"2023-12-25"
78,78,78,1,"2024-01-22","2024-02-05",14,"2023-12-27"
79,79,79,1,"2023-11-05","2023-11-18",13,"2023-10-23"
80,80,80,2,"2023-12-31","2024-01-09",9,"2023-12-07"
81,81,81,3,"2023-11-18","2023-12-01",13,"2023-11-03"
82,82,82,2,"2023-07-01","2023-07-09",8,"2023-06-26"
83,83,83,2,"2023-09-09","2023-09-11",2,"2023-09-05"
84,84,84,2,"2024-02-02","2024-02-14",12,"2024-02-02"
85,85,85,1,"2023-11-25","2023-12-01",6,"2023-11-12"
86,86,86,3,"2023-08-18","2023-08-29",11,"2023-08-14"
87,87,87,1,"2023-07-05","2023-07-10",5,"2023-06-19"
88,88,88,2,"2024-01-17","2024-01-24",7,"2023-12-26"
89,89,89,3,"2023-11-04","2023-11-16",12,"2023-10-15"
90,90,90,3,"2023-06-22","2023-06-25",3,"2023-05-27"
91,91,91,3,"2024-02-19","2024-02-21",2,"2024-01-25"
92,92,92,1,"2023-05-09","2023-05-21",12,"2023-04-10"
93,93,93,1,"2023-11-17","2023-11-23",6,"2023-10-25"
94,94,94,3,"2023-02-26","2023-02-27",1,"2023-02-01"
95,95,95,2,"2023-07-27","2023-07-28",1,"2023-07-01"
96,96,96,3,"2023-03-02","2023-03-07",5,"2023-02-08"
97,97,97,1,"2023-05-20","2023-05-24",4,"2023-04-26"
98,98,98,3,"2023-08-18","2023-08-29",11,"2023-07-31"
99,99,99,3,"2023-05-12","2023-05-21",9,"2023-04-23"
100,100,100,2,"2023-11-16","2023-11-18",2,"2023-11-05"
101,101,101,1,"2023-11-10","2023-11-11",1,"2023-10-29"
102,102,102,3,"2023-08-20","2023-08-27",7,"2023-08-14"
103,103,103,1,"2023-04-02","2023-04-07",5,"2023-03-21"
104,104,104,2,"2023-08-21","2023-08-30",9,"2023-08-11"
105,105,105,1,"2023-12-06","2023-12-18",12,"2023-11-14"
106,106,106,2,"2023-06-04","2023-06-06",2,"2023-05-14"
107,107,107,3,"2023-08-24","2023-08-26",2,"2023-08-15"
108,108,108,3,"2023-05-11","2023-05-12",1,"2023-04-19"
109,109,109,3,"2023-07-13","2023-07-17",4,"2023-07-09"
110,110,110,2,"2023-08-05","2023-08-19",14,"2023-07-15"
111,111,111,2,"2023-12-16","2023-12-25",9,"2023-12-16"
112,112,112,1,"2023-04-17","2023-04-21",4,"2023-04-15"
113,113,113,1,"2024-01-19","2024-01-22",3,"2024-01-02"
114,114,114,2,"2023-09-09","2023-09-23",14,"2023-08-17"
115,115,115,1,"2023-03-21","2023-03-23",2,"2023-03-13"
116,116,116,3,"2023-12-30","2024-01-07",8,"2023-12-13"
117,117,117,1,"2023-06-02","2023-06-06",4,"2023-05-04"
118,118,118,3,"2023-12-27","2023-12-29",2,"2023-12-08"
119,119,119,3,"2023-04-15","2023-04-19",4,"2023-03-24"
120,120,120,3,"2023-06-06","2023-06-15",9,"2023-05-14"
121,121,121,3,"2023-12-11","2023-12-22",11,"2023-11-24"
122,122,122,1,"2023-06-06","2023-06-11",5,"2023-06-02"
123,123,123,2,"2023-06-24","2023-06-25",1,"2023-06-09"
124,124,124,3,"2023-05-27","2023-06-05",9,"2023-05-24"
125,125,125,2,"2023-08-07","2023-08-11",4,"2023-08-02"
126,126,126,1,"2023-03-22","2023-03-31",9,"2023-02-22"
127,127,127,3,"2024-01-04","2024-01-12",8,"2023-12-12"
128,128,128,1,"2024-02-08","2024-02-19",11,"2024-01-26"
129,129,129,3,"2023-02-12","2023-02-26",14,"2023-01-20"
130,130,130,3,"2023-12-21","2024-01-04",14,"2023-12-18"
131,131,131,1,"2023-04-13","2023-04-15",2,"2023-03-22"
132,132,132,3,"2023-06-01","2023-06-15",14,"2023-05-30"
133,133,133,1,"2023-07-17","2023-07-30",13,"2023-07-04"
134,134,134,2,"2023-03-11","2023-03-23",12,"2023-02-10"
135,135,135,3,"2024-01-11","2024-01-14",3,"2023-12-28"
136,136,136,1,"2023-09-25","2023-09-28",3,"2023-09-07"
137,137,137,1,"2023-07-10","2023-07-23",13,"2023-06-19"
138,138,138,2,"2023-10-07","2023-10-16",9,"2023-09-29"
139,139,139,3,"2023-12-31","2024-01-03",3,"2023-12-27"
140,140,140,3,"2024-02-01","2024-02-08",7,"2024-01-10"
141,141,141,3,"2023-12-01","2023-12-03",2,"2023-11-01"
142,142,142,1,"2023-07-16","2023-07-30",14,"2023-07-16"
143,143,143,2,"2023-05-29","2023-06-11",13,"2023-05-26"
144,144,144,1,"2023-12-07","2023-12-09",2,"2023-11-28"
145,145,145,2,"2023-05-27","2023-06-05",9,"2023-05-17"
146,146,146,3,"2024-01-02","2024-01-13",11,"2023-12-06"
147,147,147,1,"2023-04-17","2023-04-29",12,"2023-03-21"
148,148,148,2,"2023-09-05","2023-09-10",5,"2023-08-19"
149,149,149,1,"2023-05-31","2023-06-10",10,"2023-05-02"
150,150,150,1,"2023-08-20","2023-08-29",9,"2023-08-12"
151,151,151,1,"2024-01-15","2024-01-23",8,"2024-01-08"
152,152,152,2,"2023-07-20","2023-07-25",5,"2023-07-06"
153,153,153,2,"2023-03-21","2023-03-27",6,"2023-03-12"
154,154,154,1,"2023-08-16","2023-08-19",3,"2023-08-06"
155,155,155,2,"2023-10-04","2023-10-10",6,"2023-09-30"
156,156,156,2,"2023-06-30","2023-07-09",9,"2023-06-08"
157,157,157,3,"2023-10-03","2023-10-12",9,"2023-09-03"
158,158,158,1,"2023-07-24","2023-08-02",9,"2023-06-30"
159,159,159,3,"2023-03-24","2023-03-31",7,"2023-02-23"
160,160,160,1,"2023-10-03","2023-10-09",6,"2023-09-29"
161,161,161,1,"2023-08-31","2023-09-14",14,"2023-08-25"
162,162,162,2,"2023-05-13","2023-05-16",3,"2023-05-11"
163,163,163,1,"2023-09-30","2023-10-06",6,"2023-09-19"
164,164,164,3,"2023-10-30","2023-11-02",3,"2023-10-25"
165,165,165,1,"2023-02-14","2023-02-28",14,"2023-01-31"
166,166,166,1,"2024-01-07","2024-01-11",4,"2023-12-31"
167,167,167,1,"2023-06-02","2023-06-15",13,"2023-05-13"
168,168,168,3,"2023-11-12","2023-11-15",3,"2023-10-31"
169,169,169,2,"2023-11-04","2023-11-18",14,"2023-10-25"
170,170,170,2,"2023-12-22","2023-12-31",9,"2023-12-05"
171,171,171,3,"2023-08-25","2023-09-02",8,"2023-08-06"
172,172,172,3,"2023-08-03","2023-08-08",5,"2023-08-03"
173,173,173,1,"2023-09-28","2023-10-05",7,"2023-09-17"
174,174,174,2,"2023-11-14","2023-11-16",2,"2023-11-08"
175,175,175,2,"2023-06-29","2023-07-02",3,"2023-06-05"
176,176,176,1,"2024-01-03","2024-01-14",11,"2023-12-12"
177,177,177,1,"2023-09-07","2023-09-21",14,"2023-08-09"
178,178,178,2,"2023-06-05","2023-06-07",2,"2023-05-14"
179,179,179,3,"2023-06-19","2023-06-24",5,"2023-05-24"
180,180,180,2,"2023-07-26","2023-08-08",13,"2023-07-18"
181,181,181,2,"2024-02-12","2024-02-14",2,"2024-01-15"
182,182,182,3,"2024-01-09","2024-01-13",4,"2023-12-13"
183,183,183,2,"2023-03-12","2023-03-13",1,"2023-03-04"
184,184,184,3,"2023-11-15","2023-11-28",13,"2023-10-28"
185,185,185,3,"2024-01-21","2024-01-26",5,"2024-01-16"
186,186,186,2,"2023-10-23","2023-11-05",13,"2023-09-29"
187,187,187,1,"2023-03-19","2023-03-31",12,"2023-02-27"
188,188,188,3,"2023-10-02","2023-10-08",6,"2023-09-16"
189,189,189,3,"2023-10-25","2023-11-03",9,"2023-10-25"
190,190,190,1,"2023-07-25","2023-08-03",9,"2023-07-20"
191,191,191,3,"2023-11-04","2023-11-12",8,"2023-10-23"
192,192,192,2,"2023-06-21","2023-06-24",3,"2023-06-01"
193,193,193,1,"2023-08-22","2023-08-29",7,"2023-08-08"
194,194,194,2,"2023-09-02","2023-09-11",9,"2023-08-11"
195,195,195,3,"2023-09-15","2023-09-20",5,"2023-08-23"
196,196,196,1,"2023-11-16","2023-11-25",9,"2023-11-08"
197,197,197,3,"2023-09-21","2023-09-24",3,"2023-08-26"
198,198,198,1,"2023-04-09","2023-04-19",10,"2023-03-17"
199,199,199,2,"2023-09-22","2023-09-28",6,"2023-08-28"
200,200,200,2,"2024-02-08","2024-02-15",7,"2024-02-01"
201,201,201,2,"2023-07-15","2023-07-18",3,"2023-07-08"
202,202,202,2,"2023-04-25","2023-04-30",5,"2023-04-04"
203,203,203,3,"2023-02-23","2023-03-08",13,"2023-02-06"
204,204,204,1,"2023-05-20","2023-05-30",10,"2023-04-20"
205,205,205,2,"2023-10-13","2023-10-18",5,"2023-10-06"
206,206,206,3,"2023-03-13","2023-03-25",12,"2023-02-19"
207,207,207,1,"2023-11-19","2023-11-26",7,"2023-10-30"
208,208,208,1,"2023-09-18","2023-09-25",7,"2023-09-14"
209,209,209,3,"2023-05-09","2023-05-11",2,"2023-05-03"
210,210,210,1,"2023-10-18","2023-10-30",12,"2023-09-23"
211,211,211,1,"2023-06-05","2023-06-17",12,"2023-05-12"
212,212,212,2,"2023-04-23","2023-04-27",4,"2023-03-24"
213,213,213,2,"2024-01-14","2024-01-27",13,"2024-01-06"
214,214,214,1,"2023-07-26","2023-08-07",12,"2023-07-17"
215,215,215,2,"2024-01-27","2024-01-28",1,"2024-01-08"
216,216,216,2,"2024-01-02","2024-01-16",14,"2023-12-14"
217,217,217,2,"2023-09-26","2023-09-28",2,"2023-09-18"
218,218,218,1,"2024-01-17","2024-01-25",8,"2024-01-15"
219,219,219,2,"2023-03-17","2023-03-19",2,"2023-03-12"
220,220,220,1,"2023-11-29","2023-12-13",14,"2023-11-17"
221,221,221,1,"2023-03-20","2023-03-21",1,"2023-02-25"
222,222,222,2,"2023-09-16","2023-09-28",12,"2023-08-24"
223,223,223,3,"2024-01-17","2024-01-18",1,"2024-01-10"
224,224,224,2,"2023-12-16","2023-12-18",2,"2023-11-18"
225,225,225,3,"2023-12-24","2024-01-02",9,"2023-12-07"
226,226,226,3,"2023-05-04","2023-05-16",12,"2023-04-30"
227,227,227,2,"2023-03-04","2023-03-05",1,"2023-02-19"
228,228,228,2,"2024-01-10","2024-01-18",8,"2023-12-22"
229,229,229,2,"2023-08-04","2023-08-09",5,"2023-07-23"
230,230,230,2,"2023-11-10","2023-11-24",14,"2023-10-26"
231,231,231,1,"2023-06-15","2023-06-19",4,"2023-06-10"
232,232,232,1,"2023-06-25","2023-06-27",2,"2023-05-27"
233,233,233,1,"2024-01-15","2024-01-21",6,"2023-12-27"
234,234,234,2,"2023-10-06","2023-10-10",4,"2023-09-18"
235,235,235,2,"2023-11-23","2023-12-02",9,"2023-11-17"
236,236,236,1,"2023-11-29","2023-12-10",11,"2023-11-24"
237,237,237,3,"2023-12-01","2023-12-11",10,"2023-11-08"
238,238,238,1,"2023-02-22","2023-02-28",6,"2023-02-10"
239,239,239,1,"2023-11-16","2023-11-24",8,"2023-11-08"
240,240,240,3,"2024-02-03","2024-02-15",12,"2024-01-15"
241,241,241,2,"2024-01-21","2024-01-22",1,"2024-01-03"
242,242,242,2,"2023-03-31","2023-04-04",4,"2023-03-14"
243,243,243,3,"2023-05-05","2023-05-16",11,"2023-04-27"
244,244,244,2,"2023-04-14","2023-04-23",9,"2023-04-09"
245,245,245,1,"2023-11-05","2023-11-18",13,"2023-10-20"
246,246,246,2,"2023-03-08","2023-03-14",6,"2023-03-01"
247,247,247,3,"2023-11-06","2023-11-07",1,"2023-11-03"
248,248,248,2,"2023-12-31","2024-01-06",6,"2023-12-28"
249,249,249,2,"2023-06-03","2023-06-13",10,"2023-05-30"
250,250,250,3,"2024-01-28","2024-02-01",4,"2024-01-22"
251,251,251,3,"2023-12-15","2023-12-18",3,"2023-12-01"
252,252,252,3,"2023-09-17","2023-09-19",2,"2023-08-26"
253,253,253,2,"2023-08-09","2023-08-16",7,"2023-07-28"
254,254,254,2,"2023-07-15","2023-07-29",14,"2023-07-07"
255,255,255,2,"2023-11-29","2023-12-04",5,"2023-11-28"
256,256,256,3,"2023-10-09","2023-10-10",1,"2023-09-13"
257,257,257,3,"2023-08-02","2023-08-04",2,"2023-07-24"
258,258,258,3,"2023-12-06","2023-12-15",9,"2023-11-15"
259,259,259,1,"2023-07-11","2023-07-14",3,"2023-06-25"
260,260,260,1,"2023-11-09","2023-11-16",7,"2023-11-08"
261,261,261,2,"2024-01-31","2024-02-04",4,"2024-01-06"
262,262,262,1,"2023-07-24","2023-08-04",11,"2023-07-15"
263,263,263,1,"2023-10-22","2023-11-02",11,"2023-10-03"
264,264,264,3,"2023-03-03","2023-03-15",12,"2023-02-18"
265,265,265,1,"2023-05-19","2023-05-23",4,"2023-05-18"
266,266,266,3,"2023-06-11","2023-06-13",2,"2023-05-21"
267,267,267,1,"2023-05-27","2023-06-04",8,"2023-04-30"
268,268,268,3,"2023-11-30","2023-12-04",4,"2023-11-26"
269,269,269,3,"2023-11-17","2023-11-20",3,"2023-11-16"
270,270,270,2,"2023-08-07","2023-08-15",8,"2023-07-30"
271,271,271,2,"2023-10-17","2023-10-25",8,"2023-10-01"
272,272,272,2,"2023-02-20","2023-03-03",11,"2023-02-06"
273,273,273,3,"2023-05-22","2023-05-23",1,"2023-04-30"
274,274,274,1,"2023-06-21","2023-06-25",4,"2023-06-01"
275,275,275,3,"2023-05-01","2023-05-14",13,"2023-04-15"
276,276,276,3,"2024-01-22","2024-01-26",4,"2024-01-08"
277,277,277,2,"2023-10-07","2023-10-16",9,"2023-09-22"
278,278,278,2,"2023-06-12","2023-06-26",14,"2023-05-22"
279,279,279,2,"2023-03-02","2023-03-06",4,"2023-02-22"
280,280,280,1,"2023-03-23","2023-03-30",7,"2023-03-03"
281,281,281,1,"2023-05-30","2023-06-10",11,"2023-05-23"
282,282,282,1,"2023-08-25","2023-08-27",2,"2023-08-02"
283,283,283,3,"2023-07-13","2023-07-27",14,"2023-07-02"
284,284,284,1,"2023-04-08","2023-04-21",13,"2023-03-13"
285,285,285,1,"2023-03-12","2023-03-23",11,"2023-02-17"
286,286,286,2,"2023-07-13","2023-07-24",11,"2023-06-17"
287,287,287,2,"2023-02-26","2023-03-09",11,"2023-02-10"
288,288,288,3,"2023-03-01","2023-03-11",10,"2023-02-10"
289,289,289,2,"2023-03-05","2023-03-13",8,"2023-02-12"
290,290,290,2,"2023-06-08","2023-06-22",14,"2023-05-29"
291,291,291,1,"2023-11-04","2023-11-14",10,"2023-10-24"
292,292,292,2,"2023-10-18","2023-10-29",11,"2023-09-27"
293,293,293,2,"2024-01-19","2024-01-31",12,"2024-01-08"
294,294,294,3,"2023-02-17","2023-03-02",13,"2023-01-19"
295,295,295,2,"2024-02-02","2024-02-07",5,"2024-01-29"
296,296,296,2,"2023-10-15","2023-10-18",3,"2023-09-24"
297,297,297,2,"2023-02-20","2023-02-25",5,"2023-02-03"
298,298,298,2,"2023-03-15","2023-03-22",7,"2023-03-08"
299,299,299,1,"2023-04-23","2023-04-24",1,"2023-04-11"
300,300,300,2,"2023-07-26","2023-08-07",12,"2023-06-28"
301,301,301,1,"2023-11-14","2023-11-27",13,"2023-11-09"
302,302,302,1,"2023-05-11","2023-05-15",4,"2023-04-16"
303,303,303,3,"2023-07-22","2023-08-02",11,"2023-07-06"
304,304,304,2,"2023-03-12","2023-03-18",6,"2023-02-22"
305,305,305,3,"2023-06-22","2023-06-24",2,"2023-06-03"
306,306,306,3,"2023-03-20","2023-04-02",13,"2023-03-16"
307,307,307,1,"2023-11-12","2023-11-21",9,"2023-10-31"
308,308,308,3,"2023-03-04","2023-03-17",13,"2023-02-09"
309,309,309,2,"2023-08-06","2023-08-19",13,"2023-07-18"
310,310,310,1,"2023-06-05","2023-06-14",9,"2023-05-13"
311,311,311,3,"2023-12-18","2023-12-23",5,"2023-12-11"
312,312,312,3,"2024-02-02","2024-02-15",13,"2024-01-06"
313,313,313,1,"2023-12-23","2023-12-25",2,"2023-12-17"
314,314,314,1,"2023-07-08","2023-07-15",7,"2023-06-18"
