"price_id","price","cleaning_fee","security_deposit","extra_person","montly_price","weekly_price"
1,"70.00","20.00","40.00","10.00","2450.00","150.00"
2,"80.00","10.00","80.00","10.00","1230.00","110.00"
3,"50.00","30.00","50.00","30.00","2520.00","170.00"
4,"10.00","30.00","10.00","40.00","2670.00","270.00"
5,"10.00","30.00","90.00","20.00","1740.00","210.00"
6,"40.00","10.00","50.00","30.00","2530.00","230.00"
7,"50.00","20.00","70.00","50.00","2590.00","200.00"
8,"20.00","30.00","30.00","40.00","1980.00","170.00"
9,"30.00","30.00","80.00","40.00","1380.00","300.00"
10,"50.00","10.00","70.00","30.00","2750.00","150.00"
11,"50.00","30.00","50.00","30.00","1580.00","200.00"
12,"30.00","30.00","90.00","30.00","2920.00","130.00"
13,"60.00","20.00","70.00","30.00","2260.00","230.00"
14,"20.00","20.00","60.00","30.00","1610.00","100.00"
15,"70.00","30.00","50.00","50.00","1700.00","140.00"
16,"40.00","10.00","90.00","10.00","2910.00","260.00"
17,"10.00","30.00","80.00","40.00","2160.00","110.00"
18,"70.00","20.00","20.00","10.00","2910.00","230.00"
19,"50.00","10.00","70.00","10.00","2780.00","250.00"
20,"90.00","20.00","30.00","20.00","1660.00","240.00"
21,"10.00","30.00","40.00","20.00","2040.00","210.00"
22,"90.00","10.00","30.00","30.00","1140.00","140.00"
23,"30.00","30.00","60.00","10.00","1510.00","210.00"
24,"60.00","10.00","50.00","40.00","2610.00","180.00"
25,"30.00","10.00","10.00","30.00","2620.00","170.00"
26,"40.00","20.00","90.00","40.00","2230.00","280.00"
27,"30.00","10.00","30.00","30.00","1720.00","100.00"
28,"60.00","20.00","70.00","50.00","2380.00","220.00"
29,"30.00","10.00","60.00","40.00","1240.00","300.00"
30,"30.00","20.00","30.00","40.00","1260.00","270.00"
31,"80.00","30.00","30.00","10.00","1050.00","190.00"
32,"40.00","30.00","30.00","30.00","2580.00","240.00"
33,"30.00","20.00","20.00","40.00","2960.00","170.00"
34,"70.00","10.00","50.00","20.00","2720.00","240.00"
35,"10.00","30.00","90.00","40.00","2710.00","130.00"
36,"10.00","30.00","50.00","50.00","2140.00","110.00"
37,"90.00","10.00","80.00","50.00","2100.00","240.00"
38,"20.00","20.00","40.00","40.00","1620.00","290.00"
39,"50.00","20.00","90.00","20.00","1210.00","180.00"
40,"20.00","30.00","70.00","20.00","2340.00","260.00"
41,"70.00","20.00","90.00","10.00","2430.00","120.00"
42,"80.00","30.00","40.00","30.00","2630.00","230.00"
43,"80.00","20.00","20.00","30.00","1580.00","260.00"
44,"50.00","10.00","80.00","20.00","2830.00","200.00"
45,"90.00","20.00","90.00","50.00","2030.00","180.00"
46,"70.00","30.00","90.00","20.00","2410.00","100.00"
47,"30.00","30.00","80.00","50.00","1730.00","120.00"
48,"70.00","30.00","40.00","20.00","1790.00","210.00"
49,"80.00","30.00","30.00","20.00","2000.00","190.00"
50,"60.00","10.00","40.00","10.00","1640.00","110.00"
51,"90.00","30.00","70.00","20.00","2830.00","270.00"
52,"50.00","10.00","70.00","20.00","1270.00","130.00"
53,"60.00","20.00","10.00","10.00","1520.00","140.00"
54,"70.00","30.00","10.00","50.00","1840.00","120.00"
55,"90.00","20.00","20.00","40.00","2490.00","130.00"
56,"80.00","20.00","60.00","20.00","1130.00","300.00"
57,"70.00","20.00","90.00","30.00","1270.00","250.00"
58,"50.00","10.00","70.00","20.00","2700.00","260.00"
59,"50.00","20.00","70.00","20.00","2620.00","300.00"
60,"80.00","30.00","70.00","50.00","1010.00","260.00"
61,"50.00","20.00","30.00","40.00","2270.00","130.00"
62,"60.00","20.00","60.00","20.00","2430.00","240.00"
63,"10.00","30.00","60.00","10.00","2460.00","240.00"
64,"30.00","30.00","70.00","20.00","2720.00","240.00"
65,"10.00","30.00","50.00","30.00","2590.00","100.00"
66,"30.00","10.00","10.00","30.00","1890.00","190.00"
67,"60.00","10.00","80.00","50.00","2640.00","190.00"
68,"50.00","30.00","50.00","10.00","1790.00","150.00"
69,"80.00","30.00","10.00","10.00","2340.00","230.00"
70,"40.00","10.00","80.00","50.00","2100.00","180.00"
71,"80.00","20.00","50.00","20.00","1260.00","280.00"
72,"70.00","20.00","80.00","20.00","2880.00","250.00"
73,"60.00","30.00","50.00","20.00","1850.00","260.00"
74,"40.00","20.00","80.00","30.00","1820.00","300.00"
75,"40.00","20.00","40.00","50.00","2330.00","210.00"
76,"70.00","20.00","50.00","30.00","1960.00","210.00"
77,"50.00","10.00","50.00","40.00","2120.00","190.00"
78,"80.00","20.00","80.00","50.00","2700.00","210.00"
79,"80.00","20.00","10.00","20.00","2820.00","110.00"
80,"30.00","20.00","80.00","30.00","1110.00","190.00"
81,"80.00","20.00","80.00","40.00","2410.00","300.00"
82,"70.00","20.00","80.00","40.00","2920.00","280.00"
83,"80.00","20.00","60.00","30.00","2700.00","200.00"
84,"70.00","10.00","20.00","20.00","1190.00","260.00"
85,"60.00","30.00","20.00","50.00","1100.00","140.00"
86,"90.00","20.00","70.00","40.00","2510.00","120.00"
87,"60.00","30.00","40.00","20.00","2480.00","130.00"
88,"80.00","10.00","60.00","10.00","2030.00","240.00"
89,"90.00","20.00","70.00","40.00","1940.00","150.00"
90,"10.00","30.00","80.00","20.00","2280.00","100.00"
91,"50.00","10.00","90.00","30.00","2800.00","160.00"
92,"20.00","30.00","60.00","50.00","1860.00","200.00"
93,"60.00","30.00","20.00","20.00","2590.00","250.00"
