"host_id","guest_id","listing_id","rating_id","review_date","total_rating","communication_rating","cleanliness_rating","location_rating","checkin_rating"
1,1,1,1,"2023-10-03",3,1,5,1,4
2,2,2,2,"2023-03-20",4,4,2,5,1
3,3,3,1,"2023-10-05",1,4,2,1,1
4,4,4,4,"2024-01-28",1,4,4,5,1
5,5,5,4,"2023-03-23",4,4,4,4,1
6,6,6,1,"2023-06-29",4,4,3,1,4
7,7,7,5,"2020-10-15",5,1,1,1,4
8,8,8,4,"2022-05-04",1,5,5,3,5
9,9,9,1,"2019-05-16",5,4,3,3,4
10,10,10,2,"2022-05-02",2,4,2,4,3
11,11,11,4,"2019-03-22",5,5,4,5,3
12,12,12,3,"2020-10-04",5,5,4,1,4
13,13,13,2,"2022-05-09",1,3,4,1,3
14,14,14,5,"2020-10-27",2,5,4,5,5
15,15,15,2,"2022-12-20",4,3,2,5,4
16,16,16,2,"2023-04-22",3,2,3,4,3
17,17,17,4,"2024-02-22",5,3,3,5,5
18,18,18,2,"2020-08-31",2,5,4,4,4
19,19,19,5,"2022-09-24",4,1,2,2,3
20,20,20,2,"2019-05-11",5,2,1,3,4
21,21,21,4,"2019-10-18",2,1,5,1,2
22,22,22,5,"2019-06-25",1,5,5,3,1
23,23,23,5,"2023-06-30",1,4,1,3,1
24,24,24,2,"2023-08-28",2,1,4,5,1
25,25,25,1,"2022-07-16",5,1,2,1,2
26,26,26,3,"2022-10-12",3,2,2,3,3
27,27,27,3,"2021-09-30",4,3,4,2,5
28,28,28,1,"2020-02-17",4,5,3,4,5
29,29,29,2,"2023-04-13",2,3,4,1,2
30,30,30,3,"2019-12-05",2,2,2,1,1
31,31,31,3,"2021-08-04",3,5,3,1,1
32,32,32,5,"2022-02-11",1,3,5,3,4
33,33,33,5,"2021-08-02",3,5,5,5,3
34,34,34,5,"2019-06-16",1,4,2,5,2
35,35,35,3,"2023-07-13",3,1,5,5,4
36,36,36,4,"2023-03-20",4,5,4,5,3
37,37,37,1,"2021-06-09",5,5,2,1,3
38,38,38,5,"2020-08-26",4,4,5,2,2
39,39,39,5,"2023-11-13",1,5,1,2,2
40,40,40,4,"2021-09-25",3,1,4,4,5
41,41,41,3,"2020-11-08",3,1,5,1,1
42,42,42,2,"2020-11-16",5,4,3,2,2
43,43,43,1,"2023-05-13",5,4,4,1,2
44,44,44,2,"2019-08-31",3,4,3,1,1
45,45,45,5,"2019-10-12",3,5,1,2,3
46,46,46,3,"2022-10-31",3,2,1,1,2
47,47,47,3,"2023-03-17",1,2,5,1,3
48,48,48,1,"2022-05-17",5,1,1,3,3
49,49,49,2,"2023-01-19",3,5,4,2,1
50,50,50,1,"2021-06-25",3,3,3,4,3
51,51,51,3,"2020-04-10",5,2,5,2,3
52,52,52,3,"2021-04-15",3,3,4,2,5
53,53,53,3,"2022-12-01",1,2,3,1,2
54,54,54,5,"2022-12-02",1,1,3,3,2
55,55,55,5,"2022-05-27",3,1,5,2,2
56,56,56,1,"2019-07-05",4,5,2,2,1
57,57,57,3,"2021-06-27",4,4,5,3,5
58,58,58,3,"2020-12-12",2,2,3,4,2
59,59,59,5,"2020-07-20",3,1,2,5,5
60,60,60,4,"2023-05-16",4,3,2,4,1
61,61,61,1,"2022-09-16",3,1,1,2,1
62,62,62,5,"2023-07-20",2,4,1,1,3
63,63,63,1,"2019-05-02",1,4,1,4,3
64,64,64,1,"2023-05-30",1,1,5,4,5
65,65,65,5,"2023-09-26",5,1,2,4,4
66,66,66,1,"2019-11-28",4,4,3,4,1
67,67,67,2,"2019-05-16",3,3,5,2,5
68,68,68,1,"2023-11-10",5,4,3,2,3
69,69,69,5,"2020-07-10",3,4,2,1,3
70,70,70,4,"2022-08-22",2,2,5,5,3
71,71,71,5,"2020-10-10",5,4,4,2,3
72,72,72,4,"2022-05-24",3,2,5,1,2
73,73,73,1,"2020-09-23",4,5,5,3,3
74,74,74,4,"2022-06-28",3,2,3,3,2
75,75,75,1,"2019-10-18",1,4,3,4,5
76,76,76,4,"2022-04-19",2,3,5,4,4
77,77,77,2,"2020-01-09",4,1,4,4,5
78,78,78,1,"2021-10-06",1,5,5,4,2
79,79,79,3,"2020-04-08",4,1,1,2,1
80,80,80,4,"2022-02-10",2,1,4,2,2
81,81,81,1,"2023-10-05",1,2,2,3,5
82,82,82,1,"2019-04-02",4,4,5,5,2
83,83,83,1,"2022-03-24",5,3,3,2,4
84,84,84,5,"2023-09-26",4,2,4,1,1
85,85,85,5,"2023-01-08",4,4,1,3,4
86,86,86,5,"2022-07-18",1,2,3,1,5
87,87,87,5,"2020-05-15",3,1,4,4,5
88,88,88,2,"2021-01-05",3,4,3,5,5
89,89,89,3,"2022-03-29",2,2,3,5,3
90,90,90,1,"2021-09-23",5,3,1,1,1
91,91,91,3,"2020-11-13",1,3,1,4,5
92,92,92,3,"2022-04-28",5,5,3,2,4
93,93,93,4,"2023-06-14",3,1,5,4,1
94,94,94,3,"2022-03-24",4,1,4,3,2
95,95,95,5,"2021-10-20",1,4,2,1,5
96,96,96,4,"2020-01-18",1,5,5,3,5
97,97,97,2,"2020-12-19",5,5,2,4,1
98,98,98,3,"2023-05-15",3,5,2,5,3
99,99,99,1,"2022-12-09",3,3,2,1,1
100,100,100,4,"2023-06-11",2,3,1,2,4
101,101,101,2,"2023-02-07",1,1,4,3,1
102,102,102,3,"2022-12-13",1,4,4,5,4
103,103,103,4,"2020-01-21",3,1,2,2,4
104,104,104,3,"2022-10-29",3,5,1,1,3
105,105,105,4,"2021-03-15",2,3,5,3,2
106,106,106,1,"2019-02-26",5,2,5,5,2
107,107,107,1,"2023-06-14",1,1,5,5,4
108,108,108,3,"2019-09-29",4,4,2,4,2
109,109,109,2,"2023-03-03",2,4,3,3,3
110,110,110,4,"2021-12-01",4,1,3,5,1
111,111,111,3,"2020-02-04",2,3,3,2,2
112,112,112,1,"2020-06-11",5,4,2,4,5
113,113,113,2,"2023-09-29",3,2,3,5,2
114,114,114,3,"2019-08-05",1,1,4,1,5
115,115,115,5,"2021-06-21",4,1,3,2,2
116,116,116,4,"2019-10-19",5,4,3,2,5
117,117,117,4,"2021-04-30",1,2,5,5,5
118,118,118,1,"2024-01-07",4,5,1,5,5
119,119,119,4,"2022-11-03",5,4,5,4,5
120,120,120,1,"2021-04-10",3,1,4,5,2
121,121,121,4,"2022-07-22",2,4,2,5,4
122,122,122,1,"2023-05-31",2,2,5,4,5
123,123,123,3,"2023-02-26",3,4,5,1,1
124,124,124,2,"2022-08-05",1,4,5,4,5
125,125,125,5,"2023-06-03",4,1,3,2,3
126,126,126,4,"2020-03-09",2,2,5,4,1
127,127,127,5,"2021-08-03",3,5,4,3,5
128,128,128,2,"2019-04-05",2,4,3,4,5
129,129,129,4,"2022-05-24",3,2,2,4,3
130,130,130,3,"2020-02-05",5,5,2,4,4
131,131,131,5,"2021-12-27",3,1,5,1,2
132,132,132,5,"2024-02-14",1,5,5,3,4
133,133,133,5,"2023-07-08",4,3,1,3,4
134,134,134,4,"2021-12-27",2,4,4,1,5
135,135,135,5,"2019-05-10",2,4,2,1,4
136,136,136,5,"2023-09-01",3,3,4,2,5
137,137,137,3,"2022-02-26",3,2,4,3,5
138,138,138,5,"2020-04-18",5,5,4,5,2
139,139,139,5,"2021-12-14",4,5,2,1,2
140,140,140,3,"2023-01-25",1,2,4,1,2
141,141,141,3,"2023-12-28",1,5,5,2,4
142,142,142,3,"2022-01-27",5,5,2,4,4
143,143,143,1,"2022-11-17",4,4,3,1,5
144,144,144,3,"2023-04-06",4,2,4,4,2
145,145,145,2,"2019-03-21",2,3,3,3,4
146,146,146,2,"2021-12-09",5,2,2,3,2
147,147,147,4,"2022-12-09",5,5,1,4,3
148,148,148,1,"2022-05-18",1,4,3,3,5
149,149,149,2,"2022-12-05",3,3,4,3,1
150,150,150,4,"2019-10-19",1,3,1,3,5
151,151,151,2,"2019-05-01",3,5,3,2,1
152,152,152,2,"2022-06-23",2,3,5,5,4
153,153,153,2,"2023-12-03",5,1,3,3,4
154,154,154,2,"2022-02-15",5,4,2,2,4
155,155,155,1,"2022-11-09",4,5,1,3,5
156,156,156,1,"2024-01-05",3,2,2,1,1
157,157,157,4,"2022-10-08",4,4,2,1,1
158,158,158,4,"2023-12-21",3,3,3,3,1
159,159,159,4,"2020-11-05",3,1,4,4,3
160,160,160,1,"2021-11-01",3,3,3,2,5
161,161,161,2,"2022-06-01",3,1,3,5,4
162,162,162,1,"2023-11-01",2,5,5,2,1
163,163,163,4,"2023-07-29",4,2,3,5,2
164,164,164,3,"2019-04-20",4,2,2,2,2
165,165,165,2,"2020-07-24",1,2,4,1,3
166,166,166,2,"2021-08-22",1,4,5,1,5
